unit_id,unit_type,guide_count,x_mean,n_treated,n_control,u_norm,den,den_is_bad,beta_obs_nan,pmin_raw,pvals_raw_eq1_frac,pmin_skew,pvals_skew_eq1_frac,p_hat_mean,p_hat_min,p_hat_max,p_hat_var,propensity_separation_flag,propensity_auc,null_nan_frac,beta_null_mean_k0,beta_null_sd_k0,null_z_mean_k0,null_z_sd_k0,null_z_skew_k0,z_obs_k0,p_raw_k0,p_skew_k0,seed_base
GENE00000,real_gene,6,0.0936,468,4532,4714.751014321205,423.61043899829195,False,False,0.01898101898101898,0.0,0.020837092875827738,0.0,0.09359993864329026,0.05805169123607695,0.1393858600284721,0.0001164375233446637,False,0.5403865956050422,0.0,0.00797582790920189,0.22632598138020457,2.1316282072803006e-17,0.9999999999999999,-0.11850802676647135,0.6964704758368812,0.4645354645354645,0.49070197084639045,0
GENE00001,real_gene,6,0.0414,207,4793,2087.378376122635,197.94220270704295,False,False,0.07292707292707293,0.0,0.07405440957385082,0.0,0.04140124959966886,0.01664333159459683,0.09692188622495013,9.882241023364427e-05,False,0.5674227007784097,0.0,0.015059429652908737,0.3378093511219971,-1.0658141036401503e-17,1.0,-0.1037314950501347,1.0081517962555493,0.2897102897102897,0.31165910045593337,0
GENE00002,real_gene,6,0.0444,222,4778,2227.1867033821873,211.88907476549775,False,False,0.06793206793206794,0.0,0.07284748359404791,0.0,0.04440323109848166,0.023156402007201954,0.07613033652326005,5.032529771158804e-05,False,0.5468127189558751,0.0,0.012415527442940468,0.3181374685895795,2.2204460492503132e-17,0.9999999999999999,-0.04830571948861701,-0.37112939038822407,0.7092907092907093,0.7049246283815112,0
GENE00003,real_gene,6,0.0586,293,4707,2947.2914939813713,275.68924378444746,False,False,0.024975024975024976,0.0,0.015004416013943284,0.0,0.058599612932456954,0.04253855482660819,0.08186106725312789,2.7883012347225446e-05,False,0.5263470062378957,0.0,0.01265028729197288,0.29210787892343676,-3.552713678800501e-18,1.0,-0.18658392637981988,-0.06465740650494066,0.98001998001998,0.9225253029048273,0
GENE00004,real_gene,6,0.1698,849,4151,8549.016922767565,704.3164538331755,False,False,0.013986013986013986,0.0,0.010940750365424218,0.0,0.16979118613045976,0.1375559276927421,0.20503949665701,0.00010452004739847243,False,0.524416470239053,0.0,0.0031595192463721258,0.17946519161931704,-2.4868995751603507e-17,0.9999999999999999,0.1041926049770023,-0.6465332090499506,0.5394605394605395,0.5229882954740079,0
GENE00005,real_gene,6,0.1092,546,4454,5497.1317910455855,485.8119506539391,False,False,0.0959040959040959,0.0,0.105668940038486,0.0,0.10920586312842089,0.08179707326916477,0.1450288394237141,0.00011210966369892421,False,0.5305931532918511,0.0,0.00287148698302233,0.21317947117060942,1.0658141036401503e-17,0.9999999999999999,-0.07342850461511329,-0.2066750712592274,0.8501498501498501,0.8266048500479635,0
GENE00006,real_gene,6,0.106,530,4470,5324.775989135169,473.05764297505686,False,False,0.013986013986013986,0.0,0.00987474221386786,0.0,0.10599988348246575,0.0674719892817592,0.15617261612089606,0.00015304493982660073,False,0.5342062386560298,0.0,-0.003945107011097675,0.21435192263648306,8.881784197001253e-18,1.0,-0.18042920129679554,1.612293259601853,0.11288711288711288,0.09515153978933905,0
GENE00007,real_gene,6,0.0826,413,4587,4153.771360657831,377.89773231822176,False,False,0.1068931068931069,0.0,0.09341157268218689,0.0,0.08259973285185108,0.04742867615794739,0.14578431941562178,0.00019606100266725114,False,0.5555536200579488,0.0,-0.006769254725186211,0.24892924883523465,-3.552713678800501e-17,0.9999999999999999,-0.08258274527666182,0.9004082431904452,0.3776223776223776,0.3680613127799523,0
GENE00008,real_gene,6,0.0984,492,4508,4959.000456471988,442.82926120318564,False,False,0.10589410589410589,0.0,0.11360550836568228,0.0,0.09839982496446328,0.0645320747005197,0.15734020089845188,0.0001511515106469194,False,0.5370853802814869,0.0,0.013100754674855938,0.22420370370448012,-1.9539925233402754e-17,0.9999999999999999,-0.22525908411006643,0.21936503706000993,0.7862137862137862,0.8541020282627261,0
GENE00009,real_gene,6,0.0732,366,4634,3686.8796095764674,338.86649719297924,False,False,0.005994005994005994,0.0,0.003692650058881187,0.0,0.07320011847651728,0.050692598994505726,0.10356282332253788,6.765482918317552e-05,False,0.5350763305668957,0.0,-0.0019028452529979982,0.26522166439784806,2.6645352591003758e-18,1.0,-0.22698601658428436,0.6880199222838664,0.4875124875124875,0.5004541550172833,0
